"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles","Audience Rating","User Rating"
"21251","300","300","Virtual Studios","R","2006","7.7","Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","Action - Fantasy","N/A","N/A","Spartans, prepare for glory!","2006-12-09","Frank Miller - Zack Snyder","US","1:56:32","Zack Snyder","Agnieshka Wnorowska - Alex Ivanovici - Alexandra Beaton","N/A","N/A"
"21076","2001: A Space Odyssey","2001: A Space Odyssey","Stanley Kubrick Productions","G","1968","9.4","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","Sci-Fi - Adventure","1","2018-02-19","An epic drama of adventure and exploration","1968-04-09","Stanley Kubrick - Arthur C. Clarke","US","2:28:51","Stanley Kubrick","Alan Gifford - Andy Wallace - Ann Bormann","8.9","N/A"
"24950","2010","2010","Metro-Goldwyn-Mayer","PG","1984","6.4","While planet Earth poises on the brink of nuclear self-destruction, a team of Russian and American scientists aboard the Leonov hurtles to a rendezvous with the still-orbiting Discovery spacecraft and it's sole known survivor, the homicidal computer HAL.","Adventure - Mystery","N/A","N/A","In the very near future a small group of Americans and Russians set out on the greatest adventure of them all... To see if there is life beyond the stars.","1984-12-06","Peter Hyams","USA","1:55:55","Peter Hyams","Bob Balaban - Candice Bergen - Dana Elcar","6.1","N/A"
"372","Across the Universe","Across the Universe","Revolution Studios","PG-13","2007","5.3","Musical based on The Beatles songbook and set in the 60s England, America, and Vietnam. The love story of Lucy and Jude is intertwined with the anti-war movement and social protests of the 60s.","Romance - Musical - Drama","N/A","N/A","All you need is love.","2007-09-14","Dick Clement - Ian La Frenais","USA","2:13:18","Julie Taymor","Angela Mounsey - Bono - Chris McGarry","8.2","N/A"
"23916","Aladdin","Aladdin","Walt Disney Pictures","G","1992","9.4","Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.","Animation - Adventure","N/A","N/A","Wish granted!","1992-11-25","Ron Clements - John Musker","USA","1:30:23","Ron Clements - John Musker","Brad Kane - Bruce Adler - Charlie Adler","9.2","N/A"
"25304","The Alan Parsons Symphonic Project Live in Columbia","Alan Parsons Symphonic Project Live in Columbia","N/A","N/A","2016","N/A","N/A","N/A","2","2019-12-04","N/A","2016-05-27","N/A","N/A","1:43:34","N/A","N/A","N/A","N/A"
"23915","Alice in Wonderland","Alice in Wonderland","RKO Radio Pictures","G","1951","7.9","On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!","Animation - Adventure","N/A","N/A","A world of wonders in One Great Picture","1951-07-03","N/A","USA","1:15:12","Clyde Geronimi - Wilfred Jackson - Hamilton Luske","Kathryn Beaumont - Verna Felton - Ed Wynn","7.8","N/A"
"20948","All Creatures Great and Small","All Creatures Great and Small","EMI Films Ltd.","N/A","1975","6.5","James Herriot is a vet in Yorkshire, England, during the 1940's. He is assigned to the practice of Siegfried Farnon, who (together with his mischievous brother Tristan) already have a successful business. James undergoes a variety of adventures during his work, which are just as often caused by the characters of the county (including the Farnon brothers) as the animals in his care.","Biography - Drama","N/A","N/A","N/A","1975-07-27","Hugh Whitemore - James Herriot","US","1:31:05","Claude Whatham","Simon Ward - Anthony Hopkins - Lisa Harrow","N/A","N/A"
"21038","All Creatures Great and Small: 1983 Special","All Creatures Great and Small: 1983 Special","N/A","N/A","1983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1:29:41","N/A","N/A","N/A","N/A"
"21039","All Creatures Great and Small: 1985 Special","All Creatures Great and Small: 1985 Special","N/A","N/A","1985","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1:29:38","N/A","N/A","N/A","N/A"
"382","Amadeus","Amadeus","Warner Bros.","R","1984","9.5","The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum.","Biography - History - Music","1","2018-03-26","...Everything you've heard is true","1984-10-26","Peter Shaffer","USA","3:00:25","Miloš Forman","Alexander Oliver - Anne Howells - Barbara Bryne","9.5","N/A"
"21097","Animal House","Animal House","Universal Pictures","R","1978","9.1","At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","Comedy","N/A","N/A","It was the Deltas against the rules... the rules lost!","1978-07-27","Douglas Kenney - Chris Miller","US","1:48:46","John Landis","Aseneth Jurgenson - Bruce Bonnheim - Bruce McGill","8.9","N/A"
"23900","The Aristocats","Aristocats","Walt Disney Productions","G","1970","6.7","When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue.","Animation - Adventure","1","2019-10-26","A tune-filled animated extravaganza.","1970-12-23","Larry Clemmons - Vance Gerry","USA","1:18:49","Wolfgang Reitherman","Phil Harris - Sterling Holloway - Scatman Crothers","7.0","N/A"
"20590","Atlantis: Milo's Return","Atlantis: Milo's Return","Walt Disney Pictures","G","2003","5.1","Three different stories come to life in this sequel to the hit animated Disney adventure. Explorer Milo Thatch, his new sweetheart, Queen Kida, and the rest of the team are preparing to rebuild the underwater city. But trouble crops up. Harnessing the power of the crystal of Atlantis, the adventurers set out to defend their kingdom against dark forces that threaten from sand, sea and snow.","Drama - Adventure","N/A","N/A","N/A","2003-02-25","Thomas Hart - Henry Gilroy","US","1:20:26","Toby Shelton - Victor Cook - Tad Stones","James Arnold Taylor - Cree Summer - John Mahoney","N/A","N/A"
"3240","Avatar","Avatar","Ingenious Film Partners","PG-13","2009","8.3","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Sci-Fi - Fantasy - Action","N/A","2019-11-03","Enter the World of Pandora.","2009-12-10","James Cameron","USA","2:58:09","James Cameron","Alicia Vela-Bailey - Allan Henry - Anthony Ingruber","8.2","N/A"
"3983","The Avengers","Avengers","Marvel Studios","PG-13","2012","7.4","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction - Action - Adventure","N/A","N/A","Some assembly required.","2012-04-25","Joss Whedon - Stan Lee","USA","2:22:59","Joss Whedon","Alex DeCourville - Alexander Christopher Jones - Alexander Daniel Pimentel","N/A","N/A"
