"Media ID","Series Title","Episode Sort Title","Episode Title","Year","Season","Episode","Content Rating","Summary","Rating","User Rating","Studio","Originally Aired","Directors","Writers","Duration","Added","Updated","Poster url","Collection","Locked Fields","View Count"
"24194","All in the Family","N/A","Meet the Bunkers","1971","1","1","TV-G","On the Bunkers' wedding anniversary, Gloria and Mike bicker with Archie.","8.5","N/A","CBS","1971-01-12","N/A","Norman Lear - Paul Harrison","0:25:55","2018-07-09","2018-07-14","/library/metadata/24194/thumb/1531604041","N/A","N/A","1"
"24195","All in the Family","N/A","Writing the President","1971","1","2","TV-G","After Mike writes a protest letter to President Nixon, Archie tries to rebut the letter with one of his own.","8.0","N/A","CBS","1971-01-19","N/A","N/A","0:25:55","2018-07-09","2018-07-14","/library/metadata/24195/thumb/1531604041","N/A","N/A","1"
"24196","All in the Family","N/A","Oh, My Aching Back","1971","1","3","TV-G","Archie tries to collect a large settlement from a petty traffic accident by hiring a Jewish lawyer.","8.0","N/A","CBS","1971-01-26","John Rich","Stanley Ralph Ross","0:26:18","2018-07-09","2018-07-14","/library/metadata/24196/thumb/1531604041","N/A","N/A","1"
"24197","All in the Family","N/A","Archie Gives Blood","1971","1","4","TV-G","Archie hesitates to donate blood, fearing it may be mixed with that of a different race.","9.0","N/A","CBS","1971-02-02","John Rich","Norman Lear","0:25:40","2018-07-09","2018-07-14","/library/metadata/24197/thumb/1531604041","N/A","N/A","1"
"24204","All in the Family","N/A","Judging Books by Covers","1971","1","5","TV-G","Archie thinks Mike's friend is gay, but learns his ex-football player buddy is homosexual.","9.0","N/A","CBS","1971-02-09","John Rich","Norman Lear - Burt Styler","0:26:11","2018-07-09","2018-07-14","/library/metadata/24204/thumb/1531604041","N/A","N/A","2"
"24205","All in the Family","N/A","Gloria Has a Belly Full","1971","1","6","TV-G","Archie hits the roof when he learns Gloria is pregnant and unemployed college student Mike has no means to support his soon-to-be child. But just as he's changing his tune, Archie learns that Gloria became suddenly ill and suffered a miscarriage.","8.0","N/A","CBS","1971-02-16","John Rich","Jerry Mayer","0:26:10","2018-07-09","2018-07-14","/library/metadata/24205/thumb/1531604041","N/A","N/A","1"
"24206","All in the Family","N/A","Mike's Hippie Friends Come to Visit","1971","1","7","TV-G","Mike invites an unmarried hippie couple to spend the night in the living room, despite Archie's strenuous objections.","10.0","N/A","CBS","1971-02-23","John Rich - Phil Mishkin - Rob Reiner","Phil Mishkin - Rob Reiner","0:26:02","2018-07-09","2018-07-14","/library/metadata/24206/thumb/1531604041","N/A","N/A","1"
"24198","All in the Family","N/A","Lionel Moves Into the Neighborhood","1971","1","8","TV-G","Archie and several neighbors learn that a black family is moving into the neighborhood, unaware that it is the Jeffersons. Lionel finds out about the effort to purchase the Jeffersons' new house and gets Archie to reveal his plans.","10.0","N/A","CBS","1971-03-02","John Rich","Don Nicholl - Bryan Joseph","0:26:15","2018-07-09","2018-07-14","/library/metadata/24198/thumb/1531604041","N/A","N/A","1"
"24199","All in the Family","N/A","Edith Has Jury Duty","1971","1","9","TV-G","Edith abandons the kitchen for the courtroom when she is chosen for jury duty.","5.0","N/A","CBS","1971-03-09","John Rich - Susan Harris","Susan Harris - Don Nicholl","0:25:52","2018-07-09","2018-07-14","/library/metadata/24199/thumb/1531604041","N/A","N/A","N/A"
"24200","All in the Family","N/A","Archie Is Worried About His Job","1971","1","10","TV-G","Archie spends a sleepless night worrying that he might lose his job.","7.0","N/A","CBS","1971-03-16","John Rich - William Bickley","Norman Lear - Don Nicholl","0:26:14","2018-07-09","2018-07-14","/library/metadata/24200/thumb/1531604041","N/A","N/A","N/A"
